event_id,pid,px,py,pz,E,x_f,y_f,z_f,t_f
0,2212,-0.508412897,-0.407934801,-20.8155918,20.8469087,-1.67061,-5.67219,-32.1778,32.2253
0,1214,0.242773178,0.0289741803,-115.112938,115.123167,0.324758,4.90485,-51.7958,51.8253
0,211,0.146222451,0.278291889,-8.33423382,8.34130234,1.00293,5.57994,-32.673,32.7199
0,-213,-0.0752958098,0.00443402076,23.8964931,23.9092084,1.00186,5.68394,33.6725,33.718
0,-323,0.181289801,-0.576179501,-106.422877,106.428329,1.66714,1.00022,-89.0048,89.022
0,-2112,-0.0272422544,0.469129879,-40.5072145,40.5207983,1.68755,4.36767,-55.3304,55.3581
0,111,0.557633086,-1.00310183,-0.935777717,1.48724304,2.3345,-6.33314,-2.40919,2.97773
0,211,-0.0924249598,-0.362703214,2.0576402,2.095954,2.33501,-6.3501,7.20598,7.41545
0,-211,0.0464500948,0.283362949,35.1702982,35.1717411,2.09131,2.73927,77.216,77.2354
0,10223,0.338957317,0.263109775,-88.4649013,88.4736784,3.00626,1.67136,-73.8952,73.916
0,211,0.0187288825,0.05407396,-1.94623835,1.95196375,3.02397,5.07911,-19.5825,19.6606
0,111,0.279038404,1.04146629,-28.7789168,28.7994377,3.62801,-0.330177,-65.4405,65.4639
0,111,0.324049088,0.253661664,-7.40835696,7.42106117,4.39652,3.68232,-19.8023,19.8795
0,313,0.200495435,0.733240537,29.2669204,29.2903761,5.1174,2.34451,33.0813,33.1275
0,311,0.743039052,0.951156851,-11.3641252,11.4387142,5.48227,-2.31264,-12.1533,12.2786
0,2214,0.698664001,-0.318235561,23.6908313,23.7352631,5.7593,1.00069,25.3143,25.3748
0,223,0.176823428,0.416692844,-8.38443663,8.43307572,5.52833,1.67053,-15.8033,15.8999
0,-321,1.10706542,-0.448950956,2.31901848,2.6550016,6.45084,-0.333275,1.72488,2.45718
0,10323,-0.309786654,-0.84595766,-21.0617609,21.11936,-4.39194,-4.3796,-20.7462,20.8286
0,3124,-0.0221504961,0.103747324,-42.8812505,42.9083127,-4.36953,-1.68402,-58.6092,58.6384
0,-211,-0.100184932,-0.0846101331,24.9725213,24.9732469,-4.25153,2.31698,43.8752,43.9142
0,-211,-0.104610894,0.0277028198,1.07849688,1.09266207,-3.90872,-5.25723,4.49092,4.85751
0,321,0.546622055,1.62303853,-1.0190971,2.0532035,-3.61978,5.55908,-0.710135,1.98131
0,-315,-1.00911051,-1.06669851,-1.13636127,2.34296984,-2.88475,-6.14266,-1.86606,2.62724
0,321,0.0214890713,0.736718091,-1.85892798,2.05982149,-3.15068,5.90738,-3.45629,3.92065
0,113,-0.575101914,0.949503796,-110.275171,110.283489,-1.00025,-2.33388,-94.7345,94.7525
0,111,-0.107739858,-0.145128446,-11.2546896,11.2569868,-0.328216,-5.26172,-48.7893,48.8245
0,321,-0.273785466,-0.184968668,25.7504095,25.7572669,0.333401,-1.66689,97.6359,97.6534
0,223,-0.786695732,0.759908184,64.0119295,64.0260616,1.00007,0.333387,100.468,100.485
0,221,0.413562353,0.0536790831,0.685831077,0.971896872,2.86411,-6.12732,1.2269,2.21919
0,211,0.815671726,-0.00730732791,45.4466786,45.4542078,3.65783,-1.65915,72.144,72.1677
0,311,0.502717947,-0.610728668,-29.6412331,29.6559008,4.37882,1.66989,-45.2385,45.2764
0,333,1.23608462,-0.136624236,-27.7247705,27.7713491,5.50567,0.334911,-20.7288,20.8112
0,3122,1.06114544,-0.0213589099,-1.25927546,1.98940105,5.85361,2.33376,-2.50971,3.11788
0,311,0.280938366,-0.449282785,-0.620078903,0.953580218,5.58217,3.00118,-2.59936,3.19051
0,-2112,-0.837306709,0.883416679,-1.52118836,2.16225937,-6.47087,-1.00012,-2.68656,3.31966
0,-323,-0.640243301,-0.111740482,0.205318431,1.12259391,-6.39489,0.333384,1.27985,2.33249
0,111,-0.871169069,0.28314993,12.8071053,12.8405646,-5.56687,-0.334263,22.5534,22.6376
0,-321,-0.7216711,-0.291405026,-39.8458243,39.856486,-5.06475,-1.00166,-46.3083,46.3494
0,223,-0.85267045,-0.0461337653,13.266202,13.3166955,-4.52415,-3.07933,28.9121,28.9779
0,113,-0.320942702,-0.509639087,58.965697,58.9738784,-4.20963,0.329445,57.108,57.1413
0,-211,-0.974930259,0.295593142,24.9516944,24.9728645,-4.51248,2.38281,37.5229,37.5736
0,-3122,-0.54550498,0.781256384,-13.5286436,13.6079973,-4.45264,4.43884,-17.4899,17.5984
0,13124,-0.301774317,-0.167742941,-4.2256501,4.56414551,-3.66745,-5.61017,-4.87819,5.25352
0,2212,-0.472702028,-0.865471171,-25.8692475,25.9050246,-3.68461,-4.35557,-37.6254,37.676
0,321,0.959265188,-0.434576816,88.4110215,88.4186734,-1.58376,-2.25978,91.1107,91.1314
0,111,0.152807858,-0.232867964,-13.0607288,13.0644272,-0.334456,-2.94015,-92.69,92.7104
0,111,0.738032776,-0.28579772,43.2912118,43.2986655,1.00025,-2.33391,96.6851,96.7047
0,321,-0.237181544,-0.792769939,9.29386802,9.34370152,3.52774,-5.48277,13.376,13.5172
0,23224,0.0167279498,-0.654517099,-39.3198832,39.373157,3.49129,-3.53106,-44.2431,44.2859
0,9000211,0.257995248,-1.03041217,18.0430832,18.1013614,4.46925,-4.43401,17.6931,17.8004
0,311,0.566643158,-0.610011925,2.11214957,2.32344804,5.26315,-3.88166,6.37162,6.66369
0,111,0.904661061,0.319726793,-6.7318825,6.80131773,5.14265,-3.00339,-13.5602,13.6997
0,-321,0.452499543,0.260379212,21.1139897,21.1262195,4.9934,-1.00182,46.2654,46.3065
0,-2214,0.594326866,1.79780694,-2.37105438,3.27491329,5.58657,3.00097,-1.97441,2.77506
0,-211,-0.565644878,-0.0480973638,-1.82369226,1.91498432,-5.83786,-3.00058,-6.5293,6.84356
0,213,-0.550060041,-0.170829617,0.757032732,1.2276088,-5.67102,3.00061,1.33175,2.44462
0,-13116,-0.740823221,-0.523855901,32.1399721,32.2097544,-4.9701,-0.333741,39.2252,39.2787
0,-323,-1.00520325,-0.25192916,1.58716976,2.09491616,-4.25722,-4.92049,3.74804,4.27189
0,213,-0.329614925,0.621450647,1.49196276,1.82290312,-2.33393,6.22375,1.96943,2.84276
0,-311,-0.728610867,-0.632466512,12.5701674,12.6168155,-0.952792,-6.09617,22.3856,22.4791
